MPG,Tenaga Mesin,Berat Dalam LBS,Kapasitas Mesin,Irit atau Boros
11.0,208.0,4633,429.0,0
13.0,155.0,4502,350.0,0
12.0,160.0,4456,350.0,0
13.0,190.0,4422,400.0,0
19.0,97.0,2330,70.0,0
15.0,150.0,3892,304.0,0
13.0,130.0,4098,307.0,0
13.0,140.0,4294,302.0,0
14.0,150.0,4077,318.0,0
18.0,112.0,2933,121.0,0
22.0,76.0,2511,121.0,0
21.0,87.0,2979,120.0,0
26.0,69.0,2189,96.0,1
22.0,86.0,2395,122.0,0
28.0,92.0,2288,97.0,1
23.0,97.0,2506,120.0,1
28.0,80.0,2164,98.0,1
27.0,88.0,2100,97.0,1
13.0,175.0,4100,350.0,0
14.0,150.0,3672,304.0,0
13.0,145.0,3988,350.0,0
14.0,137.0,4042,302.0,0
15.0,150.0,3777,318.0,0
12.0,198.0,4952,429.0,0
13.0,150.0,4464,400.0,0
13.0,158.0,4363,351.0,0
14.0,150.0,4237,318.0,0
13.0,215.0,4735,440.0,0
12.0,225.0,4951,455.0,0
13.0,175.0,3821,360.0,0
18.0,105.0,3121,225.0,0
16.0,100.0,3278,250.0,0
18.0,100.0,2945,232.0,0
18.0,88.0,3021,250.0,0
23.0,95.0,2904,198.0,1
26.0,46.0,1950,97.0,1
11.0,150.0,4997,400.0,0
12.0,167.0,4906,400.0,0
13.0,170.0,4654,360.0,0
12.0,180.0,4499,350.0,0
18.0,100.0,2789,232.0,0
20.0,88.0,2279,97.0,0
21.0,72.0,2401,140.0,0
22.0,94.0,2379,108.0,0
18.0,90.0,2124,70.0,0
19.0,85.0,2310,122.0,0
21.0,107.0,2472,155.0,0
26.0,90.0,2265,98.0,1
15.0,145.0,4082,350.0,0
16.0,230.0,4278,400.0,0
29.0,49.0,1867,68.0,1
24.0,75.0,2158,116.0,1
20.0,91.0,2582,114.0,0
19.0,112.0,2868,121.0,0
15.0,150.0,3399,318.0,0
24.0,110.0,2660,121.0,1
20.0,122.0,2807,156.0,0
11.0,180.0,3664,350.0,0
20.0,95.0,3102,198.0,0
19.0,100.0,2901,232.0,0
15.0,100.0,3336,250.0,0
31.0,67.0,1950,79.0,1
26.0,80.0,2451,122.0,1
32.0,65.0,1836,71.0,1
25.0,75.0,2542,140.0,1
16.0,100.0,3781,250.0,0
16.0,110.0,3632,258.0,0
18.0,105.0,3613,225.0,0
16.0,140.0,4141,302.0,0
13.0,150.0,4699,350.0,0
14.0,150.0,4457,318.0,0
14.0,140.0,4638,302.0,0
14.0,150.0,4257,304.0,0
29.0,83.0,2219,98.0,1
26.0,67.0,1963,79.0,1
26.0,78.0,2300,97.0,1
31.0,52.0,1649,76.0,1
32.0,61.0,2003,83.0,1
28.0,75.0,2125,90.0,1
24.0,75.0,2108,90.0,1
26.0,75.0,2246,116.0,1
24.0,97.0,2489,120.0,1
26.0,93.0,2391,108.0,1
31.0,67.0,2000,79.0,1
19.0,95.0,3264,225.0,0
18.0,105.0,3459,250.0,0
15.0,72.0,3432,250.0,0
15.0,72.0,3158,250.0,0
16.0,170.0,4668,400.0,0
15.0,145.0,4440,350.0,0
16.0,150.0,4498,318.0,0
14.0,148.0,4657,351.0,0
17.0,110.0,3907,231.0,0
16.0,105.0,3897,250.0,0
15.0,110.0,3730,258.0,0
18.0,95.0,3785,225.0,0
21.0,110.0,3039,231.0,0
20.0,110.0,3221,262.0,0
13.0,129.0,3169,302.0,0
29.0,75.0,2171,97.0,1
23.0,83.0,2639,140.0,1
20.0,100.0,2914,232.0,0
23.0,78.0,2592,140.0,1
24.0,96.0,2702,134.0,1
25.0,71.0,2223,90.0,1
24.0,97.0,2545,119.0,1
18.0,97.0,2984,171.0,0
29.0,70.0,1937,90.0,1
19.0,90.0,3211,232.0,0
23.0,95.0,2694,115.0,1
23.0,88.0,2957,120.0,1
22.0,98.0,2945,121.0,0
25.0,115.0,2671,121.0,1
33.0,53.0,1795,91.0,1
28.0,86.0,2464,107.0,1
25.0,81.0,2220,116.0,1
25.0,92.0,2572,140.0,1
26.0,79.0,2255,98.0,1
27.0,83.0,2202,101.0,1
17.5,140.0,4215,305.0,0
16.0,150.0,4190,318.0,0
15.5,120.0,3962,304.0,0
14.5,152.0,4215,351.0,0
22.0,100.0,3233,225.0,0
22.0,105.0,3353,250.0,0
24.0,81.0,3012,200.0,1
22.5,90.0,3085,232.0,0
29.0,52.0,2035,85.0,1
24.5,60.0,2164,98.0,1
29.0,70.0,1937,90.0,1
33.0,53.0,1795,91.0,1
20.0,100.0,3651,225.0,0
18.0,78.0,3574,250.0,0
18.5,110.0,3645,250.0,0
17.5,95.0,3193,258.0,0
29.5,71.0,1825,97.0,1
32.0,70.0,1990,85.0,1
28.0,75.0,2155,97.0,1
26.5,72.0,2565,140.0,1
20.0,102.0,3150,130.0,0
13.0,150.0,3940,318.0,0
19.0,88.0,3270,120.0,0
19.0,108.0,2930,156.0,0
16.5,120.0,3820,168.0,0
16.5,180.0,4380,350.0,0
13.0,145.0,4055,350.0,0
13.0,130.0,3870,302.0,0
13.0,150.0,3755,318.0,0
31.5,68.0,2045,98.0,1
30.0,80.0,2155,111.0,1
36.0,58.0,1825,79.0,1
25.5,96.0,2300,122.0,1
33.5,70.0,1945,85.0,1
17.5,145.0,3880,305.0,0
17.0,110.0,4060,260.0,0
15.5,145.0,4140,318.0,0
15.0,130.0,4295,302.0,0
17.5,110.0,3520,250.0,0
20.5,105.0,3425,231.0,0
19.0,100.0,3630,225.0,0
18.5,98.0,3525,250.0,0
16.0,180.0,4220,400.0,0
15.5,170.0,4165,350.0,0
15.5,190.0,4325,400.0,0
16.0,149.0,4335,351.0,0
29.0,78.0,1940,97.0,1
24.5,88.0,2740,151.0,1
26.0,75.0,2265,97.0,1
25.5,89.0,2755,140.0,1
30.5,63.0,2051,98.0,1
33.5,83.0,2075,98.0,1
30.0,67.0,1985,97.0,1
30.5,78.0,2190,97.0,1
22.0,97.0,2815,146.0,0
21.5,110.0,2600,121.0,0
21.5,110.0,2720,80.0,0
43.1,48.0,1985,90.0,1
36.1,66.0,1800,98.0,1
32.8,52.0,1985,78.0,1
39.4,70.0,2070,85.0,1
36.1,60.0,1800,91.0,1
19.9,110.0,3365,260.0,0
19.4,140.0,3735,318.0,0
20.2,139.0,3570,302.0,0
19.2,105.0,3535,231.0,0
20.5,95.0,3155,200.0,0
20.2,85.0,2965,200.0,0
25.1,88.0,2720,140.0,1
20.5,100.0,3430,225.0,0
19.4,90.0,3210,232.0,0
20.6,105.0,3380,231.0,0
20.8,85.0,3070,200.0,0
18.6,110.0,3620,225.0,0
18.1,120.0,3410,258.0,0
19.2,145.0,3425,305.0,0
17.7,165.0,3445,231.0,0
18.1,139.0,3205,302.0,0
17.5,140.0,4080,318.0,0
30.0,68.0,2155,98.0,1
27.5,95.0,2560,134.0,1
27.2,97.0,2300,119.0,1
30.9,75.0,2230,105.0,1
21.1,95.0,2515,134.0,0
23.2,105.0,2745,156.0,1
23.8,85.0,2855,151.0,1
23.9,97.0,2405,119.0,1
20.3,103.0,2830,131.0,0
17.0,125.0,3140,163.0,0
21.6,115.0,2795,121.0,0
16.2,133.0,3410,163.0,0
31.5,71.0,1990,89.0,1
29.5,68.0,2135,98.0,1
21.5,115.0,3245,231.0,0
19.8,85.0,2990,200.0,0
22.3,88.0,2890,140.0,0
20.2,90.0,3265,232.0,0
20.6,110.0,3360,225.0,0
17.0,130.0,3840,305.0,0
17.6,129.0,3725,302.0,0
16.5,138.0,3955,351.0,0
18.2,135.0,3830,318.0,0
16.9,155.0,4360,350.0,0
15.5,142.0,4054,351.0,0
19.2,125.0,3605,267.0,0
18.5,150.0,3940,360.0,0
31.9,71.0,1925,89.0,1
34.1,65.0,1975,86.0,1
35.7,80.0,1915,98.0,1
27.4,80.0,2670,121.0,1
25.4,77.0,3530,183.0,1
23.0,125.0,3900,350.0,1
27.2,71.0,3190,141.0,1
23.9,90.0,3420,260.0,1
34.2,70.0,2200,105.0,1
34.5,70.0,2150,105.0,1
31.8,65.0,2020,85.0,1
37.3,69.0,2130,91.0,1
28.4,90.0,2670,151.0,1
28.8,115.0,2595,173.0,1
26.8,115.0,2700,173.0,1
33.5,90.0,2556,151.0,1
41.5,76.0,2144,98.0,1
38.1,60.0,1968,89.0,1
32.1,70.0,2120,98.0,1
37.2,65.0,2019,86.0,1
28.0,90.0,2678,151.0,1
26.4,88.0,2870,140.0,1
24.3,90.0,3003,151.0,1
19.1,90.0,3381,225.0,0
34.3,78.0,2188,97.0,1
29.8,90.0,2711,134.0,1
31.3,75.0,2542,120.0,1
37.0,92.0,2434,119.0,1
32.2,75.0,2265,108.0,1
46.6,65.0,2110,86.0,1
27.9,105.0,2800,156.0,1
40.8,65.0,2110,85.0,1
44.3,48.0,2085,90.0,1
43.4,48.0,2335,90.0,1
36.4,67.0,2950,121.0,1
30.0,67.0,3250,146.0,1
44.6,67.0,1850,91.0,1
33.8,67.0,2145,97.0,1
29.8,62.0,1845,89.0,1
32.7,132.0,2910,168.0,1
23.7,100.0,2420,70.0,1
35.0,88.0,2500,122.0,1
32.4,72.0,2290,107.0,1
27.2,84.0,2490,135.0,1
26.6,84.0,2635,151.0,1
25.8,92.0,2620,156.0,1
23.5,110.0,2725,173.0,1
30.0,84.0,2385,135.0,1
39.1,58.0,1755,79.0,1
39.0,64.0,1875,86.0,1
35.1,60.0,1760,81.0,1
32.3,67.0,2065,97.0,1
37.0,65.0,1975,85.0,1
37.7,62.0,2050,89.0,1
34.1,68.0,1985,91.0,1
34.7,63.0,2215,105.0,1
34.4,65.0,2045,98.0,1
29.9,65.0,2380,98.0,1
33.0,74.0,2190,105.0,1
33.7,75.0,2210,107.0,1
32.4,75.0,2350,108.0,1
32.9,100.0,2615,119.0,1
31.6,74.0,2635,120.0,1
28.1,80.0,3230,141.0,1
30.7,76.0,3160,145.0,1
25.4,116.0,2900,168.0,1
24.2,120.0,2930,146.0,1
22.4,110.0,3415,231.0,0
26.6,105.0,3725,350.0,1
20.2,88.0,3060,200.0,0
17.6,85.0,3465,225.0,0
28.0,88.0,2605,112.0,1
27.0,88.0,2640,112.0,1
34.0,88.0,2395,112.0,1
31.0,85.0,2575,112.0,1
29.0,84.0,2525,135.0,1
27.0,90.0,2735,151.0,1
24.0,92.0,2865,140.0,1
36.0,74.0,1980,105.0,1
37.0,68.0,2025,91.0,1
31.0,68.0,1970,91.0,1
38.0,63.0,2125,105.0,1
36.0,70.0,2125,98.0,1
36.0,88.0,2160,120.0,1
36.0,75.0,2205,107.0,1
34.0,70.0,2245,108.0,1
38.0,67.0,1965,91.0,1
32.0,67.0,1965,91.0,1
38.0,67.0,1995,91.0,1
25.0,110.0,2945,181.0,1
38.0,85.0,3015,262.0,1
26.0,92.0,2585,156.0,1
22.0,112.0,2835,232.0,0
32.0,96.0,2665,144.0,1
36.0,84.0,2370,135.0,1
27.0,90.0,2950,151.0,1
27.0,86.0,2790,140.0,1
44.0,52.0,2130,97.0,1
32.0,84.0,2295,135.0,1
28.0,79.0,2625,120.0,1
31.0,82.0,2720,119.0,1
